sector,current_weight,target_weight,weight_change
Financials,0.0,0.2499999999999995,0.2499999999999995
Consumer Staples,0.0,0.2499999999999995,0.2499999999999995
Healthcare,0.10951080208592004,0.0999999999999998,-0.009510802085920242
Communication Services,0.0,0.0999999999999998,0.0999999999999998
Industrials,0.0,0.0999999999999998,0.0999999999999998
Consumer Discretionary,0.0,0.0499999999999999,0.0499999999999999
Energy,0.0,0.0499999999999999,0.0499999999999999
Real Estate,0.0,0.0499999999999999,0.0499999999999999
Utilities,0.0,0.0499999999999999,0.0499999999999999
,0.89048919791408,0.0,-0.89048919791408
