security_id,ticker,sector,country,region,currency,regime_suitability_score,crisis_suitability_score,inflation_suitability_score,steady_state_suitability_score,walking_on_ice_suitability_score,europe_recession_suitability_score,china_policy_stress_suitability_score,uk_rate_pressure_suitability_score,credit_stress_suitability_score,regime_weight_adjustment,regime_review_required_flag,regime_exclusion_flag,dominant_regime,regime_risk_score,regime_deterioration_probability,regime_commentary
WOLF001,WLF001,Healthcare,Germany,DACH,EUR,30.584663539579914,70.34233923683756,44.71638908951858,30.584663539579914,49.939996845434834,70.34233923683756,55.34233923683756,55.34233923683756,79.71839523377844,-0.019415336460420086,True,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF002,WLF002,Consumer Staples,Switzerland,DACH,CHF,54.639947500627486,73.65395288238523,39.32779990574655,54.639947500627486,65.54674944326152,73.65395288238523,58.653952882385234,58.653952882385234,71.17511267502765,0.004639947500627486,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF003,WLF003,Utilities,France,EU ex-DACH,EUR,85.98059009942216,83.73644017305193,41.45863772108372,85.98059009942216,68.53008650872135,83.73644017305193,68.73644017305193,68.73644017305193,85.94544315943611,0.03,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF004,WLF004,Financials,Netherlands,EU ex-DACH,EUR,55.44301372605639,48.15191478807168,55.811666888507595,55.44301372605639,59.07099935265478,58.15191478807168,58.15191478807168,58.15191478807168,51.937581942788384,0.005443013726056392,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF005,WLF005,Industrials,United Kingdom,UK,GBP,50.69599990618777,54.9505616316214,68.97722836529681,50.69599990618777,70.09980877677606,64.9505616316214,64.9505616316214,64.9505616316214,87.70046403527435,0.0006959999061877724,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF006,WLF006,Technology,China,Mainland China,CNY,85.20966366979766,54.65621333712234,36.14335833488591,85.20966366979766,66.63405633944286,64.65621333712234,64.65621333712234,64.65621333712234,70.17160167387135,0.03,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF007,WLF007,Healthcare,Hong Kong,Hong Kong,HKD,50.22620809702349,86.8892152179027,38.60263800574307,50.22620809702349,64.20490735173384,86.8892152179027,60.22254855123604,71.8892152179027,82.81501883053744,0.00022620809702348765,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF008,WLF008,Consumer Staples,Germany,DACH,EUR,43.44767573650491,63.19195421776675,31.205519167882287,43.44767573650491,51.83115790956374,63.19195421776675,48.19195421776675,48.19195421776675,42.84409638710778,-0.006552324263495088,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF009,WLF009,Utilities,Switzerland,DACH,CHF,47.89229776109225,64.41477762630004,38.0333744636151,47.89229776109225,59.28965338729791,64.41477762630004,49.41477762630003,49.41477762630003,59.08820144625324,-0.0021077022389077485,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
WOLF010,WLF010,Financials,France,EU ex-DACH,EUR,43.64745840299369,59.49620118211742,66.80158803712192,43.64745840299369,65.94821431115648,69.49620118211742,69.49620118211742,69.49620118211742,87.45969486378564,-0.006352541597006308,False,False,steady_state_low_chaos,51.85200199701064,0.4249255603324549,Regime suitability reflects current fused market state and stock risk profile.
