frame_id,document_id,security_id,ticker,publication_timestamp,distance_from_company_mean_frame,distance_from_previous_frame,distance_from_rolling_30d_mean,distance_from_rolling_90d_mean,distance_from_positive_quality_anchor,distance_from_distress_anchor,distance_from_dividend_risk_anchor,distance_from_credit_stress_anchor,distance_from_governance_risk_anchor,distance_from_regulatory_risk_anchor,semantic_drift_score,risk_reframing_score,positive_reframing_score,narrative_state
FRAME-NARR-001-5-WOLF001,NARR-001-5,WOLF001,WLF001,2026-04-29,0.09856644756534783,0.0,0.09856644756534783,0.09856644756534783,0.55,0.55,0.55,0.55,0.08,0.55,0.0,92.0,44.99999999999999,governance_risk
FRAME-NARR-001-4-WOLF001,NARR-001-4,WOLF001,WLF001,2026-05-20,0.046573671379705917,0.17552063683981012,0.17552063683981012,0.17552063683981012,0.55,0.55,0.55,0.08,0.55,0.55,17.55206368398101,92.0,44.99999999999999,credit_stress
FRAME-NARR-001-3-WOLF001,NARR-001-3,WOLF001,WLF001,2026-06-10,0.06994791664234046,0.11795885322140587,0.13834644955570152,0.13834644955570152,0.55,0.08,0.55,0.55,0.55,0.55,11.795885322140586,92.0,44.99999999999999,distress
FRAME-NARR-001-2-WOLF001,NARR-001-2,WOLF001,WLF001,2026-07-01,0.08449545516164392,0.1832408671737692,0.1376914366966968,0.1376914366966968,0.13431937240715552,0.30430389735892394,0.37279602142535917,0.21611573034979703,0.07917394982318005,0.1983796666228239,18.324086717376918,92.082605017682,86.56806275928444,governance_risk
FRAME-NARR-001-1-WOLF001,NARR-001-1,WOLF001,WLF001,2026-07-22,0.05536854370514921,0.1773830227620271,0.0880440739242303,0.0880440739242303,0.08,0.55,0.55,0.55,0.55,0.55,17.73830227620271,44.99999999999999,92.0,positive_stable
FRAME-NARR-002-5-WOLF002,NARR-002-5,WOLF002,WLF002,2026-04-24,0.11990162080608702,0.0,0.11990162080608702,0.11990162080608702,0.08,0.55,0.55,0.55,0.55,0.55,0.0,44.99999999999999,92.0,positive_stable
FRAME-NARR-002-4-WOLF002,NARR-002-4,WOLF002,WLF002,2026-05-15,0.11957994744945011,0.37207829580613727,0.37207829580613727,0.37207829580613727,0.55,0.55,0.55,0.55,0.08,0.55,37.207829580613726,92.0,44.99999999999999,governance_risk
FRAME-NARR-002-3-WOLF002,NARR-002-3,WOLF002,WLF002,2026-06-05,0.05552220743824454,0.17552063683981012,0.10311603329328234,0.10311603329328234,0.55,0.55,0.55,0.08,0.55,0.55,17.55206368398101,92.0,44.99999999999999,credit_stress
FRAME-NARR-002-2-WOLF002,NARR-002-2,WOLF002,WLF002,2026-06-26,0.04030161343201455,0.11795885322140587,0.06334626336090055,0.06334626336090055,0.55,0.08,0.55,0.55,0.55,0.55,11.795885322140586,92.0,44.99999999999999,distress
FRAME-NARR-002-1-WOLF002,NARR-002-1,WOLF002,WLF002,2026-07-17,0.10012518269984139,0.1832408671737692,0.15797507701591318,0.15797507701591318,0.13431937240715552,0.30430389735892394,0.37279602142535917,0.21611573034979703,0.07917394982318005,0.1983796666228239,18.324086717376918,92.082605017682,86.56806275928444,governance_risk
FRAME-NARR-003-5-WOLF003,NARR-003-5,WOLF003,WLF003,2026-04-19,0.06250146075662899,0.0,0.06250146075662899,0.06250146075662899,0.08,0.55,0.55,0.55,0.55,0.55,0.0,44.99999999999999,92.0,positive_stable
FRAME-NARR-003-4-WOLF003,NARR-003-4,WOLF003,WLF003,2026-05-10,0.11141424606650674,0.24186120717030335,0.24186120717030335,0.24186120717030335,0.08,0.55,0.55,0.55,0.55,0.55,24.186120717030335,44.99999999999999,92.0,positive_stable
FRAME-NARR-003-3-WOLF003,NARR-003-3,WOLF003,WLF003,2026-05-31,0.12987117061296982,0.37207829580613727,0.24044007107697318,0.24044007107697318,0.55,0.55,0.55,0.55,0.08,0.55,37.207829580613726,92.0,44.99999999999999,governance_risk
FRAME-NARR-003-2-WOLF003,NARR-003-2,WOLF003,WLF003,2026-06-21,0.04332703114528358,0.17552063683981012,0.06782629067152857,0.06782629067152857,0.55,0.55,0.55,0.08,0.55,0.55,17.55206368398101,92.0,44.99999999999999,credit_stress
FRAME-NARR-003-1-WOLF003,NARR-003-1,WOLF003,WLF003,2026-07-12,0.041273316710739194,0.11795885322140587,0.06622901687531602,0.06622901687531602,0.55,0.08,0.55,0.55,0.55,0.55,11.795885322140586,92.0,44.99999999999999,distress
