security_id,ticker,company_name,large_drawdown_probability_3m,expected_max_drawdown_3m,large_drawdown_probability_6m,expected_max_drawdown_6m,large_drawdown_probability_9m,expected_max_drawdown_9m,large_drawdown_probability_12m,expected_max_drawdown_12m,drawdown_risk_score,drawdown_model_confidence
WOLF001,WLF001,Wolf Germany Healthcare 1,0.34580575663617746,-0.17201865662806218,0.47155330450387833,-0.22355439512369737,0.565863965404654,-0.26270696939177274,0.6287377393385044,-0.29272003394803126,62.873773933850444,0.78
WOLF002,WLF002,Wolf Switzerland Consumer Staples 2,0.4461290606942882,-0.2714006929923573,0.6083578100376656,-0.36318848590263053,0.7300293720451989,-0.4331137681635585,0.8111437467168876,-0.4882007985438106,81.11437467168876,0.78
WOLF003,WLF003,Wolf France Utilities 3,0.36090076853902836,-0.20828409590164135,0.49213741164412955,-0.27470404777476104,0.5905648939729555,-0.3252605609545228,0.6561832155255061,-0.3647568939238236,65.61832155255061,0.78
WOLF004,WLF004,Wolf Netherlands Financials 4,0.4373842275451881,-0.27287480706869877,0.59643303756162,-0.365352810071416,0.715719645073944,-0.43581762694234016,0.79524405008216,-0.49143522123591854,79.52440500821601,0.78
WOLF005,WLF005,Wolf United Kingdom Industrials 5,0.42197408164225025,-0.23639453937970029,0.5754192022394321,-0.31390221310877453,0.6905030426873185,-0.3728973694197578,0.7672256029859095,-0.4189790179056542,76.72256029859095,0.78
WOLF006,WLF006,Wolf China Technology 6,0.4302645616677116,-0.2864131670593003,0.5867244022741521,-0.3845637590784984,0.7040692827289825,-0.45938938122101336,0.7822992030322028,-0.5187449484640209,78.22992030322028,0.78
WOLF007,WLF007,Wolf Hong Kong Healthcare 7,0.3180938414892195,-0.1622604272188896,0.4337643293034811,-0.21000646113565485,0.5205171951641773,-0.24628252172160955,0.5783524390713081,-0.27411051053449564,57.83524390713081,0.78
WOLF008,WLF008,Wolf Germany Consumer Staples 8,0.3416120792164314,-0.16505850705177444,0.46583465347695185,-0.21374943599889923,0.5590015841723422,-0.25072386730062707,0.6211128713026025,-0.278936982420102,62.11128713026025,0.78
WOLF009,WLF009,Wolf Switzerland Utilities 9,0.408668211611943,-0.21688031765950333,0.5572748340162859,-0.2864260713468361,0.668729800819543,-0.33932692212166493,0.7430331120217145,-0.3803860393026157,74.30331120217146,0.78
WOLF010,WLF010,Wolf France Financials 10,0.41666414613406255,-0.2542598028078319,0.5681783810919034,-0.339215852043632,0.6818140573102841,-0.4039323700553347,0.7575711747892045,-0.454883324469458,75.75711747892045,0.78
WOLF011,WLF011,Wolf Netherlands Industrials 11,0.330213879566873,-0.17619455228848868,0.45029165395482673,-0.2296019502254658,0.5403499847457921,-0.27020838251263535,0.600388871939769,-0.30158210488206155,60.0388871939769,0.78
WOLF012,WLF012,Wolf United Kingdom Technology 12,0.4472691905538227,-0.2850665898538092,0.6099125325733945,-0.38250460296267935,0.7318950390880734,-0.45676415861439745,0.8132167100978593,-0.5154952789258569,81.32167100978593,0.78
WOLF013,WLF013,Wolf China Healthcare 13,0.3860374097989973,-0.21764686725666377,0.5264146497259053,-0.28771616464432775,0.6316975796710864,-0.341044410903834,0.7018861996345405,-0.3826597829199058,70.18861996345404,0.78
WOLF014,WLF014,Wolf Hong Kong Consumer Staples 14,0.5225,-0.3132557301662405,0.7124999999999999,-0.42168517405607053,0.855,-0.5042934296554071,0.95,-0.5694114603324809,95.0,0.78
WOLF015,WLF015,Wolf Germany Utilities 15,0.4836946462572407,-0.2845165630019175,0.6595836085326009,-0.3813951339768709,0.7915003302391211,-0.455184103374492,0.8794448113768012,-0.5132031193990526,87.94448113768011,0.78
WOLF016,WLF016,Wolf Switzerland Financials 16,0.3863312832859046,-0.23945391523930976,0.5268153862989607,-0.3185533122631114,0.632178463558753,-0.3788102643867915,0.702420515065281,-0.42626426120744443,70.2420515065281,0.78
WOLF017,WLF017,Wolf France Industrials 17,0.3405054434657309,-0.16849407341405906,0.4643256047259967,-0.21861813523940754,0.557190725671196,-0.25669350314489564,0.6191008063013289,-0.2858443323146942,61.91008063013289,0.78
WOLF018,WLF018,Wolf Netherlands Technology 18,0.3979183782395559,-0.2321027318690308,0.5426159703266671,-0.308051681336606,0.6511391643920005,-0.36587806875276463,0.7234879604355561,-0.41118268045022155,72.34879604355561,0.78
WOLF019,WLF019,Wolf United Kingdom Healthcare 19,0.35304522937309163,-0.1700092405495477,0.4814253127814886,-0.2206467442477661,0.5777103753377862,-0.2591018682101415,0.6419004170419847,-0.2884642735923396,64.19004170419848,0.78
WOLF020,WLF020,Wolf China Consumer Staples 20,0.4769225585692807,-0.2979374939375649,0.6503489435035645,-0.40043684890621023,0.7804187322042774,-0.47854647798442873,0.8671319246714193,-0.5402666132310442,86.71319246714194,0.78
WOLF021,WLF021,Wolf Hong Kong Utilities 21,0.33134724365880847,-0.1829862301040391,0.45183715044382966,-0.23919651507492026,0.5422045805325957,-0.28195239284510454,0.6024495339251063,-0.3151283685974263,60.244953392510624,0.78
WOLF022,WLF022,Wolf Germany Financials 22,0.46471672464354385,-0.2773484686478397,0.6337046245139234,-0.37143069074531593,0.760445549416708,-0.44309546961400403,0.8449394993518978,-0.4994880263073451,84.49394993518979,0.78
WOLF023,WLF023,Wolf Switzerland Industrials 23,0.417721943885191,-0.24168229420699738,0.5696208325707149,-0.32141893871899285,0.683544999084858,-0.38212926694464255,0.75949444342762,-0.42969368843229755,75.94944434276199,0.78
WOLF024,WLF024,Wolf France Technology 24,0.36210007628998,-0.18064915144444876,0.4937728313045181,-0.23561141615520814,0.5925273975654217,-0.2773747765844246,0.6583637750726908,-0.30944775493758914,65.83637750726908,0.78
